Name,Address,City,Zipcode,Statea,Building_Cost,Content_Cost,Building_Area,HUSBT,YearBuilt,NumStories,SchoolId,EfClass,Tract,Y,X,Occupancy
Leahi Hospital - Young Bldg -  District*,3675 Kilauea Ave.,Honolulu,96816,HI,53074000,79611000,175538,CECBH,1980,7,HI000179,EFHM,15003005700,21.27340226,-157.8009899,COM6
Leahi Hospital Young Building -  New Wa*,3675 Kilauea Ave.,Honolulu,96816,HI,43650000,65475000,144369,CECBH,1980,7,HI000186,EFHM,15003005700,21.27340226,-157.8009899,COM6
Castle Medical Center,640 ULUKAHIKI ST,KAILUA,96734,HI,16520000,24780000,54639,CERBL,2002,3,HI000112,EFHM,15003005700,21.38039,-157.757735,COM6
Hawaii State Hospital,45-691 KEAAHALA RD,KANEOHE,96744,HI,16520000,24780000,54639,WSF1,1980,1,HI000120,EFHM,15003005700,21.405512,-157.813558,COM6
Leahi Hospital,3675 KILAUEA AVE,HONOLULU,96816,HI,16520000,24780000,54639,CERBM,1980,1,HI000174,EFHM,15003005700,21.273032,-157.802007,COM6
Queens Medical Center,1236 LAUHALA ST,HONOLULU,96813,HI,16520000,24780000,54639,CERBH,1980,1,HI000199,EFHM,15003005700,21.307815,-157.853944,COM6
St. Francis Medical Center,2230 LILIHA ST,HONOLULU,96817,HI,16520000,24780000,54639,CERBH,1980,1,HI000205,EFHM,15003005700,21.329542,-157.852662,COM6
Tripler Army Medical Center,1250 ALA AOLANI,HONOLULU,96819,HI,16520000,24780000,54639,CERBH,1945,1,HI000227,EFHM,15003005700,21.359535,-157.884171,COM6
Wahiawa General Hospital,128 LEHUA ST,WAHIAWA,96786,HI,16520000,24780000,54639,MERBL,1980,1,HI000230,EFHM,15003005700,21.498846,-158.02643,COM6
"Leahi Hospital Young Building -  Lndy, *",3675 Kilauea Ave.,Honolulu,96816,HI,13640000,20460000,45113,CECBL,1980,2,HI000185,EFHM,15003005700,21.27340226,-157.8009899,COM6
Leahi Hospital Young Building -  Dining*,3675 Kilauea Ave.,Honolulu,98816,HI,13200000,19800000,43658,CECBL,1980,1,HI000182,EFHM,15003005700,21.27340226,-157.8009899,COM6
Leahi Hosp - Trotter Bldg -  Hospital,3675 Kilauea Ave.,Honolulu,96816,HI,12301600,18452400,40687,CECBL,1980,2,HI000173,EFHM,15003005700,21.27340226,-157.8009899,COM6
Leahi Hospital Young Building -  Alexan*,3675 Kilauea Ave.,Honolulu,96816,HI,11980000,17970000,39623,CECBM,1980,3,HI000181,EFHM,15003005700,21.27340226,-157.8009899,COM6
Leahi Hospital - Atherton Bldg -  Hospi*,3675 Kilauea Ave.,Honolulu,96816,HI,10113600,15170400,33450,CECBL,1980,2,HI000175,EFHM,15003005700,21.27340226,-157.8009899,COM6
Leahi Hospital -Nurse Qtr #1 Wilcox,3675 Kilauea Ave.,Honolulu,96816,HI,8352000,12528000,27624,CECBL,1980,1,HI000180,EFHM,15003005700,21.27340226,-157.8009899,COM6
Rehabilitation Hospital of the Pacific,234 N KUAKINI ST,HONOLULU,96817,HI,8260000,12390000,27319,WSF1,1980,1,HI000201,EFHM,15003005700,21.32169,-157.853827,COM6
Diamond Head Health Center,3627 KILAUEA AVE,HONOLULU,96816,HI,4150000,6225000,13726,WSF1,1980,1,HI000114,EFHM,15003005700,21.273754,-157.802857,COM6
Kahi Mohala,2301 FORT WEAVER RD,EWA BEACH,96706,HI,4150000,6225000,13726,MERBL,1983,1,HI000122,EFHM,15003005700,21.37647,-158.037904,COM6
Kahi Mohala,2301 FORT WEAVER RD,EWA BEACH,96706,HI,4150000,6225000,13726,MERBL,1983,1,HI000123,EFHM,15003005700,21.37647,-158.037904,COM6
Kahi Mohala,2301 FORT WEAVER RD,EWA BEACH,96706,HI,4150000,6225000,13726,MERBL,1983,1,HI000124,EFHM,15003005700,21.37647,-158.037904,COM6
Kahi Mohala,2301 FORT WEAVER RD,EWA BEACH,96706,HI,4150000,6225000,13726,MERBL,1984,1,HI000125,EFHM,15003005700,21.37647,-158.037904,COM6
Kahi Mohala,2301 FORT WEAVER RD,EWA BEACH,96706,HI,4150000,6225000,13726,MERBL,1983,1,HI000126,EFHM,15003005700,21.37647,-158.037904,COM6
Kahuku Hospital,56-117 PUALALEA ST,KAHUKU,96731,HI,4150000,6225000,13726,MERBL,1939,1,HI000127,EFHM,15003005700,21.676543,-157.954501,COM6
Kahuku Hospital,56-117 PUALALEA ST,KAHUKU,96731,HI,4150000,6225000,13726,MERBL,1917,1,HI000128,EFHM,15003005700,21.676543,-157.954501,COM6
Kahuku Hospital,56-117 PUALALEA ST,KAHUKU,96731,HI,4150000,6225000,13726,MERBL,1949,2,HI000129,EFHM,15003005700,21.676543,-157.954501,COM6
Kahuku Hospital,56-117 PUALALEA ST,KAHUKU,96731,HI,4150000,6225000,13726,MERBL,1966,1,HI000130,EFHM,15003005700,21.676543,-157.954501,COM6
Kahuku Hospital,56-117 PUALALEA ST,KAHUKU,96731,HI,4150000,6225000,13726,MERBL,1959,1,HI000131,EFHM,15003005700,21.676543,-157.954501,COM6
Kahuku Hospital,56-117 PUALALEA ST,KAHUKU,96731,HI,4150000,6225000,13726,MERBL,1981,1,HI000132,EFHM,15003005700,21.676543,-157.954501,COM6
Kaiser Foundation Hospital,3288 MOANALUA ROAD,HONOLULU,96819,HI,4150000,6225000,13726,WSF1,1980,1,HI000134,EFHM,15003005700,21.36863,-157.90677,COM6
Kaiser Hawaii Kai Clinic,6700 KALANIANAOLE HWY,HONOLULU,96824,HI,4150000,6225000,13726,WSF1,1980,1,HI000135,EFHM,15003005700,21.284427,-157.709439,COM6
Kaiser Honolulu Clinic,1010 PENSACOLA ST,HONOLULU,96814,HI,4150000,6225000,13726,CERBM,1980,1,HI000136,EFHM,15003005700,21.301111,-157.846149,COM6
Kaiser Kahuku Clinic,56-565 KAMEHAMEHA HWY,KAHUKU,96731,HI,4150000,6225000,13726,WSF1,1980,1,HI000137,EFHM,15003005700,21.674908,-157.945786,COM6
Kaiser Kailua Clinic,201 HAMAKUA DR,KAILUA,96734,HI,4150000,6225000,13726,WSF2,1989,2,HI000138,EFHM,15003005700,21.389967,-157.740489,COM6
Kaiser Kapolei Clinic,91-599 FARRINGTON HWY,KAPOLEI,96707,HI,4150000,6225000,13726,WSF2,1999,2,HI000139,EFHM,15003005700,21.34637,-158.074331,COM6
Kaiser Koolau Clinic,46-602 KAMEHAMEHA HWY,KANEOHE,96744,HI,4150000,6225000,13726,CERBL,1965,1,HI000140,EFHM,15003005700,21.400996,-157.800328,COM6
Kaiser Mililani Clinic,95-660 LANIKUHANA AVE,MILILANI,96789,HI,4150000,6225000,13726,WSF1,1991,1,HI000141,EFHM,15003005700,21.450014,-158.005083,COM6
Kaiser Moanalua Medical Center,3288 MOANALUA RD,HONOLULU,96819,HI,4150000,6225000,13726,CERBL,1980,1,HI000142,EFHM,15003005700,21.363405,-157.899507,COM6
Kaiser Nanaikeola Clinic,87-2116 FARRINGTON HWY,WAIANAE,96792,HI,4150000,6225000,13726,WSF1,1997,1,HI000143,EFHM,15003005700,21.386217,-158.149397,COM6
Kaiser Punawai Clinic,94-235 LEOKU ST,WAIPAHU,96797,HI,4150000,6225000,13726,CERBM,1970,4,HI000144,EFHM,15003005700,21.379903,-158.023462,COM6
Kapiolani Medical Center,1637 BINGHAM ST,HONOLULU,96826,HI,4150000,6225000,13726,WSF2,1938,2,HI000145,EFHM,15003005700,21.299408,-157.832805,COM6
Kapiolani Medical Center,1637 BINGHAM ST,HONOLULU,96826,HI,4150000,6225000,13726,CERBM,1940,5,HI000146,EFHM,15003005700,21.299408,-157.832805,COM6
Kapiolani Medical Center,1637 BINGHAM ST,HONOLULU,96826,HI,4150000,6225000,13726,CERBH,1976,12,HI000147,EFHM,15003005700,21.299408,-157.832805,COM6
Kapiolani Medical Center,1637 BINGHAM ST,HONOLULU,96826,HI,4150000,6225000,13726,CERBM,1978,5,HI000148,EFHM,15003005700,21.299408,-157.832805,COM6
Kapiolani Medical Center,1637 BINGHAM ST,HONOLULU,96826,HI,4150000,6225000,13726,WSF2,1951,2,HI000149,EFHM,15003005700,21.299408,-157.832805,COM6
