OBJECTID,SchoolId,EfClass,Tract,YearBuilt,NumStories,Cost,Area,Latitude,Longitude,HUSBT,SO,Name,Address,City,Zipcode,Statea,Contact,PhoneNumber,NumStudents,BackupPower,ShelterCapacity,District,Kitchen
64,HI000347,EFS1,15003940001,1965,2,3596.1,11987,21.32811,-157.6952,MERBL,EDU1,Blanche Pope El - Bldg A,41-133 Huli St ,Waimanalo,96795,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,HI000348,EFS1,15003940001,1969,2,3402,11340,21.32811,-157.6952,MERBL,EDU1,Blanche Pope El - Bldg B,41-133 Huli St ,Waimanalo,96795,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,HI000349,EFS1,15003940001,1975,2,4614.9,15383,21.32811,-157.6952,MERBL,EDU1,Blanche Pope Elementary - Bldg C,41-133 Huli St ,Waimanalo,96795,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,HI000394,EFS1,15003008617,1990,1,2890.2,9634,21.3345,-158.03469,MERBL,EDU1,Ewa Elementary - Bldg L,91-1280 Renton Rd,Ewa Beach,96706,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,HI000395,EFS1,15003008617,1994,2,2890.2,9634,21.3445,-158.03469,MERBL,EDU1,Ewa Elementary - Bldg M,91-1280 Renton Rd,Ewa Beach,96706,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,HI000410,EFS1,15003010507,1960,1,4022.4,13408,21.41825,-157.80859,MERBL,EDU1,Heeia Elementary - Bldg B,46-202 Haiku Rd,Kaneohe,96744,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,HI000411,EFS1,15003010507,1961,1,4022.4,13408,21.41825,-157.80859,MERBL,EDU1,Heeia Elementary - Bldg C,46-202 Haiku Rd,Kaneohe,96744,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,HI000412,EFS1,15003010507,1971,1,1411.5,4705,21.41825,-157.80859,MERBL,EDU1,Heeia Elementary - Bldg F,46-202 Haiku Rd,Kaneohe,96744,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,HI000426,EFS1,15003007302,1950,1,2334,7780,21.34249,-157.96369,MERBL,EDU1,Hickam Elementary - Bldg C,Manzelman St,Hickam AFB ,96853,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,HI000427,EFS1,15003007302,1950,1,621,2070,21.34249,-157.96369,MERBL,EDU1,Hickam Elementary - Bldg E,Manzelman St,Hickam AFB ,96853,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,HI000420,EFS1,15003007302,1950,1,1224.3,4081,21.34249,-157.96369,MERBL,EDU1,Hickam Elementary - Bldg F,Manzelman St,Hickam AFB ,96853,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,HI000422,EFS1,15003007302,1950,1,1426.8,4756,21.34249,-157.96369,MERBL,EDU1,Hickam Elementary - Bldg H,Manzelman St,Hickam AFB ,96853,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,HI000423,EFS1,15003007302,1950,1,775.8,2586,21.34249,-157.96369,MERBL,EDU1,Hickam Elementary - Bldg I,Manzelman St,Hickam AFB ,96853,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,HI000424,EFS1,15003007302,1965,2,3396,11320,21.34249,-157.96369,MERBL,EDU1,Hickam Elementary - Bldg K,Manzelman St,Hickam AFB ,96853,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,HI000471,EFS1,15003001804,1973,1,1429.2,4764,21.27326,-157.81828,MERBL,EDU1,Jefferson Elementary - Bldg N,324 Kapahulu Ave,Honolulu,96815,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,HI000472,EFS1,15003001804,1973,1,1429.2,4764,21.27326,-157.81828,MERBL,EDU1,Jefferson Elementary - Bldg O,324 Kapahulu Ave,Honolulu,96815,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,HI000473,EFS1,15003001804,1973,1,3014.4,10048,21.27326,-157.81828,MERBL,EDU1,Jefferson Elementary - Bldg Q,324 Kapahulu Ave,Honolulu,96815,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,HI000475,EFS1,15003003501,1967,1,2384.4,7948,21.30211,-157.84376,MERBL,EDU1,Kaahumanu Elementary - Bldg C,1141 Kinau St,Honolulu,96814,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
142,HI000559,EFS1,15003000112,1971,3,6309,21030,21.28478,-157.696,MERBL,EDU1,Kaiser High - Bldg A,511 Lunalilo Home Rd,Honolulu,96825,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
143,HI000561,EFS1,15003000112,1972,3,3753.9,12513,21.28478,-157.696,MERBL,EDU1,Kaiser High - Bldg C,511 Lunalilo Home Rd,Honolulu,96825,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,HI000562,EFS1,15003000112,1972,3,1662.3,5541,21.28478,-157.696,MERBL,EDU1,Kaiser High - Bldg E,511 Lunalilo Home Rd,Honolulu,96825,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145,HI000563,EFS1,15003000112,1973,2,3260.7,10869,21.28478,-157.696,MERBL,EDU1,Kaiser High - Bldg G,511 Lunalilo Home Rd,Honolulu,96825,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146,HI000564,EFS1,15003000112,1973,3,21647.1,72157,21.28478,-157.696,MERBL,EDU1,Kaiser High - Bldg H,511 Lunalilo Home Rd,Honolulu,96825,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,HI000565,EFS1,15003000112,1974,2,3560.7,11869,21.28478,-157.696,MERBL,EDU1,Kaiser High - Bldg K,511 Lunalilo Home Rd,Honolulu,96825,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,HI000566,EFS1,15003000112,1974,1,6623.7,22079,21.28478,-157.696,MERBL,EDU1,Kaiser High - Bldg L,511 Lunalilo Home Rd,Honolulu,96825,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166,HI000625,EFS1,15003000111,1971,2,5438.4,18128,21.29427,-157.68493,MERBL,EDU1,Kamiloiki Elementary - Bldg C ,7788 Hawaii Kai Dr,Honolulu,96825,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
179,HI000642,EFS1,15003011500,1993,2,3065.7,10219,21.33389,-158.06433,MERBL,EDU1,Kapolei Elementary - Bldg D,91-1119 Kamaaha Lp,Kapolei,96707,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
180,HI000643,EFS1,15003011500,1993,2,2793.6,9312,21.33389,-158.06433,MERBL,EDU1,Kapolei Elementary - Bldg E,91-1119 Kamaaha Lp,Kapolei,96707,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
181,HI000644,EFS1,15003011500,1993,2,2699.7,8999,21.33389,-158.06433,MERBL,EDU1,Kapolei Elementary - Bldg F,91-1119 Kamaaha Lp,Kapolei,96707,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
182,HI000648,EFS1,15003010308,1962,1,2224.2,7414,21.4079,-157.804,MERBL,EDU1,Kapunahala Elementary - Bldg A,45-800 Anoi Rd,Kaneohe,96744,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
183,HI000649,EFS1,15003010308,1962,2,3883.8,12946,21.4079,-157.804,MERBL,EDU1,Kapunahala Elementary - Bldg B,45-800 Anoi Rd,Kaneohe,96744,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
184,HI000650,EFS1,15003010308,1963,2,3883.8,12946,21.4079,-157.804,MERBL,EDU1,Kapunahala Elementary - Bldg C,45-800 Anoi Rd,Kaneohe,96744,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
223,HI000748,EFS1,15003008622,1969,1,1620,5400,21.34431,-158.08478,MERBL,EDU1,Makakilo Elementary - Bldg A,92-675 Anipeahi St,Kapolei,96707,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
224,HI000749,EFS1,15003008622,1969,1,1080,3600,21.34431,-158.08478,MERBL,EDU1,Makakilo Elementary - Bldg B,92-675 Anipeahi St,Kapolei,96707,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
225,HI000750,EFS1,15003008622,1969,1,1080,3600,21.34431,-158.08478,MERBL,EDU1,Makakilo Elementary - Bldg C,92-675 Anipeahi St,Kapolei,96707,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
226,HI000751,EFS1,15003008622,1971,1,1080,3600,21.34431,-158.08478,MERBL,EDU1,Makakilo Elementary - Bldg F,92-675 Anipeahi St,Kapolei,96707,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
227,HI000752,EFS1,15003008622,1971,1,1408.8,4696,21.34431,-158.08478,MERBL,EDU1,Makakilo Elementary - Bldg H,92-675 Anipeahi St,Kapolei,96707,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
338,HI000981,EFS1,15003009904,1993,2,2812.5,9375,21.57549,-158.12164,MERBL,EDU1,Waialua Elementary - Bldg D,67-20 Waialua Beach Rd,Waialua,96791,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
339,HI000982,EFS1,15003009904,1972,1,2562.3,8541,21.56583,-158.12646,MERBL,EDU1,Waialua High & Intermediate - Bldg C,67-595A Kahui St,Waialua,96791,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
340,HI000984,EFS1,15003009904,1965,1,1316.1,4387,21.56583,-158.12646,MERBL,EDU1,Waialua High & Intermediate - Bldg L,67-595A Kahui St,Waialua,96791,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
341,HI000985,EFS1,15003009904,1978,2,3767.7,12559,21.56583,-158.12646,MERBL,EDU1,Waialua High & Intermediate - Bldg S,67-595A Kahui St,Waialua,96791,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
342,HI000986,EFS1,15003009904,1980,2,8297.1,27657,21.56583,-158.12646,MERBL,EDU1,Waialua High & Intermediate - Bldg T,67-595A Kahui St,Waialua,96791,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
343,HI000987,EFS1,15003009904,1985,1,1998.3,6661,21.56583,-158.12646,MERBL,EDU1,Waialua High & Intermediate - Bldg U,67-595A Kahui St,Waialua,96791,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
344,HI000988,EFS1,15003009904,1993,1,1831.2,6104,21.56583,-158.12646,MERBL,EDU1,Waialua High & Intermediate - Bldg V,67-595A Kahui St,Waialua,96791,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
345,HI000989,EFS1,15003009904,1971,1,2217.6,7392,21.56583,-158.12646,MERBL,EDU1,Waialua High & Intermediate - Bldg W,67-595A Kahui St,Waialua,96791,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL
