,NAME,ADDRESS,CITY,ZIPCODE,STATEA,BUILDING_COST,CONTENT_COST,BUILDING_AREA,HUSBT,YEARBUILT,NUMSTORIES,SCHOOLID,EFCLASS,TRACT,LATITUDE,LONGITUDE,OCCUPANCY,CENSUSBLOCK,TERRAINID
0,Leahi Hospital - Young Bldg -  District*,3675 Kilauea Ave.,Honolulu,96816,HI,53074000,79611000,175538,CECBH,1980,7,HI000179,EFHM,15003005700,21.27340226,-157.8009899,COM6,1.5003E+14,4
1,Leahi Hospital Young Building -  New Wa*,3675 Kilauea Ave.,Honolulu,96816,HI,43650000,65475000,144369,CECBH,1980,7,HI000186,EFHM,15003005700,21.27340226,-157.8009899,COM6,1.5003E+14,4
2,HONOLULU EOC,1130 ALAPAI ST,HONOLULU,96813,HI,1180000,1770000,4641,CECBH,1991,1,HI000012,EFEO,15003003900,21.304063,-157.85475,GOV2,1.5003E+14,4
3,Leahi Hospital,3675 KILAUEA AVE,HONOLULU,96816,HI,16520000,24780000,54639,CERBM,1980,1,HI000174,EFHM,15003005700,21.273032,-157.802007,COM6,1.5003E+14,4
4,Leahi Hospital,3675 Kilauea Ave,Honolulu,96816,HI,16800000,25200000,55565,CERBM,nan,1,HI000061,EFHL,15003000800,21.27303,-157.80201,COM6,1.5003E+14,4
5,Kaiser Honolulu Clinic,1010 PENSACOLA ST,HONOLULU,96814,HI,4150000,6225000,13726,CERBM,1980,1,HI000136,EFHM,15003005700,21.301111,-157.846149,COM6,1.5003E+14,4
6,Kaiser Honolulu Clinic,1010 Pensacola St,Honolulu,96814,HI,16800000,25200000,55565,CERBM,nan,1,HI000052,EFHL,15003003501,21.30111,-157.84615,COM6,1.5003E+14,4
7,Kaiser Punawai Clinic,94-235 LEOKU ST,WAIPAHU,96797,HI,4150000,6225000,13726,CERBM,1970,4,HI000144,EFHM,15003005700,21.379903,-158.023462,COM6,1.5003E+14,4
8,Kaiser Punawai Clinic,94-235 Leoku St,Waipahu,96797,HI,8400000,12600000,27782,CERBM,1970,4,HI000097,EFHM,15003008914,21.3799,-158.02346,COM6,1.5003E+14,4
9,Kapiolani Medical Center,1637 BINGHAM ST,HONOLULU,96826,HI,4150000,6225000,13726,CERBM,1940,5,HI000146,EFHM,15003005700,21.299408,-157.832805,COM6,1.5003E+14,4
10,Kapiolani Medical Center,1637 BINGHAM ST,HONOLULU,96826,HI,4150000,6225000,13726,CERBM,1978,5,HI000148,EFHM,15003005700,21.299408,-157.832805,COM6,1.5003E+14,4
11,Kapiolani Medical Center,1637 Bingham St,Honolulu,96826,HI,16800000,25200000,55565,CERBM,1964,5,HI000055,EFHL,15003002600,21.29941,-157.83281,COM6,1.5003E+14,4
12,Kapiolani Medical Center,1637 Bingham St,Honolulu,96826,HI,16800000,25200000,55565,CERBM,1978,5,HI000057,EFHL,15003002600,21.29941,-157.83281,COM6,1.5003E+14,4
13,Kapiolani Medical Center at Pali Momi,98-1079 MOANALUA RD,AIEA,96701,HI,4150000,6225000,13726,CERBM,1989,1,HI000152,EFHM,15003005700,21.383485,-157.93851,COM6,1.5003E+14,4
14,Kapiolani MC - Pali Momi,98-1079 Moanalua Rd,Aiea,96701,HI,16800000,25200000,55565,CERBM,1989,1,HI000108,EFHL,15003007808,21.38349,-157.93851,COM6,1.5003E+14,4
15,St. Francis Medical Center - West,2139 FORT WEAVER RD,EWA BEACH,96706,HI,4150000,6225000,13726,CERBM,1989,5,HI000206,EFHM,15003005700,21.370859,-158.027285,COM6,1.5003E+14,3
16,St. Francis MC - West,2139 Fort Weaver Rd,Ewa Beach,96706,HI,16800000,25200000,55565,CERBM,1989,5,HI000090,EFHL,15003008614,21.37086,-158.02729,COM6,1.5003E+14,3
17,Straub Clinic & Hospital,888 S KING ST,HONOLULU,96813,HI,4150000,6225000,13726,CERBM,1933,4,HI000208,EFHM,15003005700,21.302669,-157.850598,COM6,1.5003E+14,4
18,Straub Clinic & Hospital,888 S KING ST,HONOLULU,96813,HI,4150000,6225000,13726,CERBM,1971,4,HI000209,EFHM,15003005700,21.302669,-157.850598,COM6,1.5003E+14,4
19,Straub Clinic & Hospital,888 S KING ST,HONOLULU,96813,HI,4150000,6225000,13726,CERBM,1950,4,HI000211,EFHM,15003005700,21.302669,-157.850598,COM6,1.5003E+14,4
20,Straub Clinic & Hospital,888 S King St,Honolulu,96813,HI,8400000,12600000,27782,CERBM,1933,4,HI000047,EFHM,15003004100,21.30267,-157.8506,COM6,1.5003E+14,4
