OBJECTID,CensusBlock,SURFACEROUGHNESS,SRIndex
1,150010202021065,0.57300000,0.57000000
2,150010202021186,0.22000000,0.22000000
3,150010203001021,0.54000000,0.54000000
4,150010208011028,0.35500000,0.36000000
5,150010206004063,0.59400000,0.59000000
6,150010202022035,0.30600000,0.31000000
7,150010202022040,0.38200000,0.38000000
8,150010202021123,0.22400000,0.22000000
9,150010206002066,0.41600000,0.42000000
10,150010206002059,0.42600000,0.43000000
11,150010205004002,0.44700000,0.45000000
12,150010208011009,0.37700000,0.38000000
13,150010212021200,0.25700000,0.26000000
14,150010212021213,0.22600000,0.23000000
15,150010212021382,0.23600000,0.24000000
16,150010212021212,0.36700000,0.37000000
17,150010212021192,0.20400000,0.20000000
18,150010212021015,0.40500000,0.40000000
19,150010212021386,0.69500000,0.70000000
20,150010212021030,0.19500000,0.20000000
21,150010212021385,0.60400000,0.60000000
22,150010212021026,0.34800000,0.35000000
23,150010212021116,0.02200000,0.03000000
24,150010221021114,0.28300000,0.28000000
25,150010221022037,0.29400000,0.29000000
26,150010221022035,0.31000000,0.31000000
27,150010221022032,0.15500000,0.16000000
28,150010221021168,0.19300000,0.19000000
29,150010221021523,0.14600000,0.15000000
30,150010221021197,0.07000000,0.07000000
31,150010221021205,0.16600000,0.17000000
32,150010221021178,0.06200000,0.06000000
33,150010221021349,0.10800000,0.11000000
34,150010216015009,0.38900000,0.39000000
35,150010216041007,0.21900000,0.22000000
36,150010215093014,0.35600000,0.36000000
37,150010215073009,0.34800000,0.35000000
38,150010215071033,0.20400000,0.20000000
39,150010215071021,0.22100000,0.22000000
40,150010215071066,0.10100000,0.10000000
41,150010215071071,0.12200000,0.12000000
42,150010215071139,0.10000000,0.10000000
43,150010215071024,0.19300000,0.19000000
44,150010215042114,0.35900000,0.36000000
45,150010215092015,0.20700000,0.21000000
46,150010216044015,0.28700000,0.29000000
47,150010215022044,0.43800000,0.44000000
48,150010215073019,0.20200000,0.20000000
49,150010201004002,0.35100000,0.35000000
50,150010201004035,0.43500000,0.44000000
51,150010201001344,0.15000000,0.15000000
52,150010201001359,0.25800000,0.26000000
53,150010201001367,0.11700000,0.12000000
54,150010201001078,0.16200000,0.16000000
55,150010201001098,0.08700000,0.09000000
56,150010201002073,0.24000000,0.24000000
57,150010201003098,0.20600000,0.21000000
58,150010201003039,0.09900000,0.10000000
59,150010201001068,0.12500000,0.12000000
60,150010201001110,0.08200000,0.08000000
61,150010201001129,0.22100000,0.22000000
62,150010201003117,0.31200000,0.31000000
63,150010201003009,0.37800000,0.38000000
64,150010201003124,0.38200000,0.38000000
65,150010209002002,0.39800000,0.40000000
66,150010209002008,0.43200000,0.43000000
67,150010209003008,0.35300000,0.35000000
68,150010203002002,0.24500000,0.24000000
69,150010208021009,0.53300000,0.53000000
70,150010206002055,0.46700000,0.47000000
71,150010206002006,0.34600000,0.35000000
72,150010207011019,0.44300000,0.44000000
73,150010205004015,0.53700000,0.54000000
74,150010209001004,0.58000000,0.58000000
75,150010204003002,0.48300000,0.48000000
76,150010205005018,0.58500000,0.58000000
77,150010205003012,0.51700000,0.52000000
78,150010205002001,0.49000000,0.49000000
79,150010204002011,0.51900000,0.52000000
80,150010204003006,0.52500000,0.52000000
81,150010212021019,0.35400000,0.35000000
82,150010212021012,0.50500000,0.50000000
83,150010212021125,0.09800000,0.10000000
84,150010212021131,0.08300000,0.08000000
85,150010212023147,0.42400000,0.42000000
86,150010212022641,0.18500000,0.18000000
87,150010212022646,0.15900000,0.16000000
88,150010212022443,0.16900000,0.17000000
89,150010212022486,0.16900000,0.17000000
90,150010212022496,0.16800000,0.17000000
91,150010212022671,0.16000000,0.16000000
92,150010212022647,0.18600000,0.19000000
93,150010212022670,0.17700000,0.18000000
94,150010212022483,0.18100000,0.18000000
95,150010212022614,0.18800000,0.19000000
96,150010212022666,0.16700000,0.17000000
97,150010212022665,0.16800000,0.17000000
98,150010212022618,0.17900000,0.18000000
99,150010212022445,0.18700000,0.19000000
100,150010212022406,0.12400000,0.12000000
101,150010210101007,0.61300000,0.61000000
102,150010210101107,0.65500000,0.66000000
103,150010210102049,0.60800000,0.61000000
104,150010210111009,0.63200000,0.63000000
105,150010210111050,0.55900000,0.56000000
106,150010210111014,0.56100000,0.56000000
107,150010210111039,0.61900000,0.62000000
108,150010210112018,0.75300000,0.75000000
109,150010210111078,0.34900000,0.35000000
110,150010210111004,0.43600000,0.44000000
111,150010210102086,0.58400000,0.58000000
112,150010210112032,0.48300000,0.48000000
113,150010210112014,0.70800000,0.71000000
114,150010210103056,0.47300000,0.47000000
115,150010215071144,0.38000000,0.38000000
116,150010216013001,0.31700000,0.32000000
117,150010215021044,0.38100000,0.38000000
118,150010215041005,0.41000000,0.41000000
119,150010215022032,0.09300000,0.09000000
120,150010216044031,0.31400000,0.31000000
121,150010216044017,0.42700000,0.43000000
122,150010215022018,0.46900000,0.47000000
123,150010215092012,0.26400000,0.26000000
124,150010216044021,0.40100000,0.40000000
125,150010216045003,0.41500000,0.42000000
126,150010211011064,0.64800000,0.65000000
127,150010211061034,0.40900000,0.41000000
128,150010211061018,0.42900000,0.43000000
129,150010211061005,0.45900000,0.46000000
130,150010211064138,0.46200000,0.46000000
131,150010211064008,0.64200000,0.64000000
132,150010211061040,0.42100000,0.42000000
133,150010211061060,0.42100000,0.42000000
134,150010211011023,0.58400000,0.58000000
135,150010211012045,0.25800000,0.26000000
136,150010211011065,0.45200000,0.45000000
137,150010211012001,0.14000000,0.14000000
138,150010211064052,0.14600000,0.15000000
139,150010211012020,0.31800000,0.32000000
140,150010211061036,0.27100000,0.27000000
141,150010211063051,0.47600000,0.48000000
142,150010211062007,0.54400000,0.54000000
143,150010211063018,0.47900000,0.48000000
144,150010213002047,0.32200000,0.32000000
145,150010213001070,0.36000000,0.36000000
146,150010213001081,0.27800000,0.28000000
147,150010213001157,0.06300000,0.06000000
148,150010214021021,0.10500000,0.10000000
149,150010214021026,0.14000000,0.14000000
150,150010214021069,0.16000000,0.16000000
151,150010214022010,0.12000000,0.12000000
152,150010214021038,0.16100000,0.16000000
153,150010214021059,0.18500000,0.18000000
154,150010214021049,0.19600000,0.20000000
155,150010214021081,0.19400000,0.19000000
156,150010213001110,0.16400000,0.16000000
157,150010213001016,0.12200000,0.12000000
158,150010214021074,0.16100000,0.16000000
159,150010213001029,0.21200000,0.21000000
160,150010214023006,0.26500000,0.26000000
161,150010212022248,0.20100000,0.20000000
162,150010212022225,0.24100000,0.24000000
163,150010212022224,0.11600000,0.12000000
164,150010212022319,0.07800000,0.08000000
165,150010212022256,0.16500000,0.16000000
166,150010212022323,0.12100000,0.12000000
167,150010212022283,0.14900000,0.15000000
168,150010212022274,0.08800000,0.09000000
169,150010212022287,0.19400000,0.19000000
170,150010212022288,0.35000000,0.35000000
171,150010212022380,0.05600000,0.06000000
172,150010212022351,0.08200000,0.08000000
173,150010212022354,0.07600000,0.08000000
174,150010212022360,0.11500000,0.12000000
175,150010212022343,0.08800000,0.09000000
176,150010212024076,0.28300000,0.28000000
177,150010212024090,0.10000000,0.10000000
178,150010210132030,0.22500000,0.22000000
179,150010210051017,0.16000000,0.16000000
