OBJECTID,Tract,SURFACEROUGHNESS,SRIndex
1,15003980600,0.67978001,0.68000001
2,15003009703,0.33050001,0.33000001
3,15003009608,0.33923,0.34
4,15003009507,0.48477,0.47999999
5,15003009801,0.25310001,0.25
6,15003009904,0.2393,0.23999999
7,15003010000,0.33375001,0.33000001
8,15003008928,0.54931998,0.55000001
9,15003008930,0.56046999,0.56
10,15003008929,0.49891001,0.5
11,15003008924,0.32473001,0.31999999
12,15003008613,0.38383999,0.38
13,15003940002,0.36431,0.36000001
14,15003008614,0.28933999,0.28999999
15,15003008611,0.16557001,0.17
16,15003008622,0.40217,0.40000001
17,15003008502,0.38303,0.38
18,15003000302,0.39489999,0.38999999
19,15003001202,0.49821001,0.5
20,15003010702,0.51380998,0.50999999
21,15003007100,0.43232,0.43000001
22,15003981300,0.49822,0.5
23,15003011201,0.36541,0.37
24,15003008405,0.42164001,0.41999999
25,15003008411,0.37224001,0.37
26,15003008412,0.41947001,0.41999999
27,15003008407,0.45646,0.46000001
28,15003008408,0.33230001,0.33000001
29,15003008410,0.31900001,0.31999999
30,15003008406,0.31935999,0.31999999
31,15003008703,0.44819999,0.44999999
32,15003005900,0.50729001,0.50999999
33,15003000700,0.50501001,0.50999999
34,15003006202,0.49654999,0.5
35,15003006100,0.50634003,0.50999999
36,15003001300,0.53122997,0.52999997
37,15003008617,0.34801999,0.34999999
38,15003990001,0.003,0.03
39,15003007303,0.38797,0.38999999
40,15003007302,0.46026999,0.46000001
41,15003980200,0.45267999,0.44999999
42,15003981400,0.48118001,0.47999999
43,15003003604,0.53103,0.52999997
44,15003003603,0.53996003,0.54000002
45,15003003502,0.53219998,0.52999997
46,15003001201,0.52796,0.52999997
47,15003006301,0.47883001,0.47999999
48,15003000500,0.40924999,0.41
49,15003000800,0.51166999,0.50999999
50,15003010306,0.52534997,0.52999997
51,15003005400,0.52934003,0.52999997
52,15003004800,0.5284,0.52999997
53,15003000106,0.41755,0.41999999
54,15003002005,0.44633999,0.44999999
55,15003002202,0.44606999,0.44999999
56,15003001904,0.42225,0.41999999
57,15003001903,0.47224,0.47
58,15003002006,0.42835999,0.43000001
59,15003002004,0.36836001,0.37
60,15003001804,0.38558999,0.38999999
61,15003000112,0.41378999,0.41
62,15003008931,0.60569,0.61000001
63,15003008926,0.61531001,0.62
64,15003980700,0.68928999,0.69
65,15003000114,0.34744,0.34999999
66,15003006600,0.45800999,0.46000001
67,15003009902,0.26633,0.27000001
68,15003003601,0.53043997,0.52999997
69,15003008005,0.57393003,0.56999999
70,15003008913,0.48376,0.47999999
71,15003004400,0.52831,0.52999997
72,15003011202,0.3766,0.38
73,15003009802,0.31344,0.31
74,15003007805,0.48124999,0.47999999
75,15001021504,0.34132001,0.34
