,OBJECTID_left,SchoolId,EfClass,Tract_left,YearBuilt,NumStories,Cost,Area,Latitude,Longitude,HUSBT,SO,Name,Address,City,Zipcode,Statea,Contact,PhoneNumber,NumStudents,BackupPower,ShelterCapacity,District,Kitchen,geometry,index_right,CensusBlock,OBJECTID_right,SURFACEROUGHNESS,SRIndex,wbID,sbtName,charDescription,CaseID,nWindChar,TerrainID,Tract_ID_Gen,OBJECTID,Tract_right,f100yr,f100yr_L,f100yr_U,f100yr_IpV,f100yr_IpV_dmg1,f100yr_IpV_dmg2,f100yr_IpV_dmg3,f100yr_IpV_dmg4,f100yr_IpV_dmg5,f100yr_IpV_dmg6,f100yr_IpV_dmg7,f100yr_IpV_dmg8
0,64,HI000347,EFS1,15003940001,1965.0,2,3596.1,11987.0,21.328110000000002,-157.6952,MERBL,EDU1,Blanche Pope El - Bldg A,41-133 Huli St ,Waimanalo,96795.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.6952 21.32811),9939,150039400011046,9886,0.431,0.43,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003940001,264,15003940001,124.59999847,125,130,,0.8512459755812,0.6457927529249601,0.18975195062690006,0.0,0.038196424067837416,0.019316530685300207,28.52301401662901,1.1734783043599644
1,65,HI000348,EFS1,15003940001,1969.0,2,3402.0,11340.0,21.328110000000002,-157.6952,MERBL,EDU1,Blanche Pope El - Bldg B,41-133 Huli St ,Waimanalo,96795.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.6952 21.32811),9939,150039400011046,9886,0.431,0.43,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003940001,264,15003940001,124.59999847,125,130,,0.8512459755812,0.6457927529249601,0.18975195062690006,0.0,0.038196424067837416,0.019316530685300207,28.52301401662901,1.1734783043599644
2,66,HI000349,EFS1,15003940001,1975.0,2,4614.9,15383.0,21.328110000000002,-157.6952,MERBL,EDU1,Blanche Pope Elementary - Bldg C,41-133 Huli St ,Waimanalo,96795.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.6952 21.32811),9939,150039400011046,9886,0.431,0.43,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003940001,264,15003940001,124.59999847,125,130,,0.8512459755812,0.6457927529249601,0.18975195062690006,0.0,0.038196424067837416,0.019316530685300207,28.52301401662901,1.1734783043599644
3,2484,HI001588,EFS1,15003011302,1965.0,2,3596100.0,11987.0,21.328112,-157.695197,MERBL,EDU1,Blanche Pope Elementary - Bldg A,41-133 HULI ST WAIM,WAIMANALO,96795.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.695197 21.328112),9939,150039400011046,9886,0.431,0.43,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003940001,264,15003940001,124.59999847,125,130,,0.8512459755812,0.6457927529249601,0.18975195062690006,0.0,0.038196424067837416,0.019316530685300207,28.52301401662901,1.1734783043599644
4,2486,HI001590,EFS1,15003011302,1969.0,2,3402000.0,11340.0,21.328112,-157.695197,MERBL,EDU1,Blanche Pope Elementary - Bldg B,41-133 HULI ST WAIM,WAIMANALO,96795.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.695197 21.328112),9939,150039400011046,9886,0.431,0.43,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003940001,264,15003940001,124.59999847,125,130,,0.8512459755812,0.6457927529249601,0.18975195062690006,0.0,0.038196424067837416,0.019316530685300207,28.52301401662901,1.1734783043599644
5,2488,HI001592,EFS1,15003011302,1975.0,2,4614900.0,15383.0,21.328112,-157.695197,MERBL,EDU1,Blanche Pope Elementary - Bldg C,41-133 HULI ST WAIM,WAIMANALO,96795.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.695197 21.328112),9939,150039400011046,9886,0.431,0.43,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003940001,264,15003940001,124.59999847,125,130,,0.8512459755812,0.6457927529249601,0.18975195062690006,0.0,0.038196424067837416,0.019316530685300207,28.52301401662901,1.1734783043599644
6,430,HI000350,EFS1,15003940001,1965.0,1,1081.675,6181.0,21.328110000000002,-157.6952,WSF1,EDU1,Blanche Pope Elementary - Bldg D,41-133 Huli St ,Waimanalo,96795.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.6952 21.32811),9939,150039400011046,9886,0.431,0.43,1,WSF1,rsgabswrnorda6dstrapgdnodshtno                                                                      ,1,6,4,15003940001,264,15003940001,124.59999847,125,130,,0.6518055693449201,0.19567556873292005,0.008993993818800011,8.199981640000035e-05,0.05442088327896941,0.011321780604868804,54.479975463516624,1.8872793596737203
7,2490,HI001594,EFS1,15003011302,1965.0,1,1081675.0,6181.0,21.328112,-157.695197,WSF1,EDU1,Blanche Pope Elementary - Bldg D,41-133 HULI ST WAIM,WAIMANALO,96795.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.695197 21.328112),9939,150039400011046,9886,0.431,0.43,1,WSF1,rsgabswrnorda6dstrapgdnodshtno                                                                      ,1,6,4,15003940001,264,15003940001,124.59999847,125,130,,0.6518055693449201,0.19567556873292005,0.008993993818800011,8.199981640000035e-05,0.05442088327896941,0.011321780604868804,54.479975463516624,1.8872793596737203
8,69,HI000394,EFS1,15003008617,1990.0,1,2890.2,9634.0,21.3345,-158.03468999999998,MERBL,EDU1,Ewa Elementary - Bldg L,91-1280 Renton Rd,Ewa Beach,96706.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-158.03469 21.3345),15438,150030084111001,15232,0.29,0.29,1437,MERBL,rcburwalowshtnowiddArd100,3,5,3,15003008411,174,15003008411,121.30000305,120,125,,0.9417614279929,0.8333618713273,0.42705435778870005,0.0,0.07637812397876201,0.051436078999569,56.24034337032001,1.8853255950872103
9,70,HI000395,EFS1,15003008617,1994.0,2,2890.2,9634.0,21.3445,-158.03468999999998,MERBL,EDU1,Ewa Elementary - Bldg M,91-1280 Renton Rd,Ewa Beach,96706.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-158.03469 21.3445),12196,150030086171004,11924,0.291,0.29,1437,MERBL,rcburwalowshtnowiddArd100,3,5,3,15003008617,184,15003008617,121.80000305,120,125,,0.9463504279929,0.8450548713273001,0.4529213577887,0.0,0.081620543978762,0.055534368999569,60.07154337032001,2.00583169508721
