OBJECTID,Tract,f10yr,f20yr,f50yr,f100yr,f200yr,f500yr,f1000yr
1,15001020100,85.90000153,98.19999695,110.00000000,117.09999847,123.69999695,131.00000000,137.60000610
2,15001020202,86.69999695,98.90000153,111.59999847,119.40000153,126.09999847,133.89999390,139.30000305
3,15001020300,81.30000305,93.00000000,105.09999847,112.50000000,119.00000000,126.50000000,131.50000000
4,15001020400,82.19999695,94.00000000,106.00000000,113.50000000,120.00000000,127.19999695,132.00000000
5,15001020500,82.19999695,94.19999695,106.30000305,113.69999695,120.50000000,127.59999847,132.69999695
6,15001020600,82.69999695,95.00000000,107.80000305,115.40000153,122.00000000,129.69999695,134.80000305
7,15001020701,82.59999847,94.40000153,106.59999847,113.69999695,120.40000153,127.59999847,133.19999695
8,15001020702,84.19999695,96.09999847,108.69999695,116.30000305,123.09999847,131.00000000,135.89999390
9,15001020801,85.30000305,97.40000153,110.50000000,118.40000153,125.09999847,133.60000610,139.00000000
10,15001020802,83.30000305,95.09999847,108.00000000,115.80000305,122.80000305,130.60000610,136.10000610
11,15001020900,83.80000305,95.59999847,108.19999695,115.90000153,122.59999847,130.39999390,136.10000610
12,15001021003,82.40000153,94.19999695,107.59999847,115.19999695,121.90000153,130.19999695,135.19999695
13,15001021005,81.59999847,93.09999847,106.80000305,114.19999695,121.00000000,129.60000610,134.80000305
14,15001021010,85.30000305,97.30000305,110.19999695,118.00000000,124.80000305,132.50000000,137.69999695
15,15001021011,87.50000000,99.69999695,112.69999695,120.19999695,127.09999847,135.19999695,140.60000610
16,15001021013,83.00000000,95.00000000,107.90000153,115.80000305,122.59999847,130.30000305,135.19999695
17,15001021101,82.69999695,94.19999695,108.30000305,116.69999695,123.59999847,132.00000000,137.69999695
18,15001021106,81.50000000,92.90000153,106.59999847,114.90000153,121.30000305,129.89999390,135.60000610
19,15001021202,86.90000153,97.69999695,108.69999695,115.69999695,121.40000153,129.00000000,134.39999390
20,15001021300,81.19999695,92.00000000,103.50000000,111.09999847,118.09999847,126.30000305,133.39999390
21,15001021402,83.80000305,95.40000153,108.09999847,116.80000305,124.30000305,133.39999390,141.19999695
22,15001021502,84.00000000,95.00000000,107.19999695,115.09999847,122.09999847,130.39999390,137.19999695
23,15001021504,79.69999695,90.09999847,101.90000153,110.19999695,117.09999847,126.90000153,133.50000000
24,15001021507,79.30000305,89.30000305,101.30000305,109.00000000,115.50000000,123.80000305,130.10000610
25,15001021509,81.00000000,92.40000153,105.09999847,113.40000153,120.90000153,130.80000305,137.19999695
26,15001021601,77.69999695,87.90000153,99.59999847,107.50000000,114.40000153,123.40000153,130.80000305
27,15001021604,78.59999847,89.50000000,101.40000153,109.80000305,117.09999847,126.09999847,133.69999695
28,15001021702,87.69999695,100.59999847,113.50000000,120.59999847,127.00000000,134.89999390,140.60000610
29,15001021704,79.09999847,89.69999695,100.50000000,107.50000000,113.40000153,121.30000305,126.40000153
30,15001021800,83.09999847,94.30000305,106.69999695,114.09999847,120.59999847,127.90000153,132.80000305
31,15001021902,88.30000305,101.50000000,113.50000000,120.50000000,126.90000153,134.39999390,139.60000610
32,15001022000,88.90000153,101.90000153,114.19999695,121.40000153,128.30000305,136.60000610,142.60000610
33,15001022102,90.00000000,103.00000000,114.90000153,122.19999695,128.80000305,137.00000000,142.19999695
34,15003000106,77.80000305,93.30000305,114.80000305,129.60000610,141.30000305,152.30000305,160.00000000
35,15003000107,75.30000305,90.30000305,110.69999695,124.69999695,136.39999390,147.39999390,155.10000610
36,15003000108,73.00000000,86.90000153,105.40000153,118.40000153,128.19999695,138.39999390,144.60000610
37,15003000110,84.19999695,100.90000153,122.80000305,139.10000610,151.60000610,164.10000610,173.30000305
38,15003000111,78.30000305,93.50000000,114.00000000,128.50000000,139.89999390,152.60000610,159.89999390
39,15003000112,72.09999847,85.59999847,102.80000305,115.80000305,125.30000305,134.80000305,140.69999695
40,15003000114,73.69999695,87.69999695,106.69999695,120.09999847,131.19999695,141.39999390,148.69999695
41,15003000200,74.30000305,88.69999695,108.00000000,121.40000153,131.69999695,142.39999390,148.50000000
42,15003000301,83.59999847,100.19999695,121.90000153,138.00000000,150.39999390,160.30000305,168.50000000
43,15003000302,74.59999847,88.80000305,107.19999695,120.40000153,130.19999695,139.69999695,145.19999695
44,15003000401,82.30000305,97.80000305,116.59999847,130.00000000,139.89999390,150.19999695,156.10000610
45,15003000402,87.50000000,104.80000305,125.30000305,140.10000610,151.50000000,163.10000610,168.89999390
46,15003000500,76.09999847,90.09999847,107.09999847,119.30000305,128.30000305,136.89999390,141.60000610
47,15003000600,80.69999695,95.69999695,114.30000305,128.00000000,137.89999390,146.89999390,152.80000305
48,15003000700,77.50000000,91.90000153,109.30000305,121.80000305,130.80000305,139.80000305,145.19999695
49,15003000800,83.59999847,99.19999695,117.69999695,131.10000610,141.19999695,150.60000610,156.80000305
50,15003000901,76.09999847,90.40000153,108.69999695,121.90000153,131.50000000,140.60000610,146.00000000
51,15003000902,93.59999847,111.30000305,133.00000000,148.60000610,160.89999390,173.00000000,181.30000305
52,15003000903,82.19999695,97.80000305,116.50000000,129.30000305,140.60000610,150.69999695,157.39999390
53,15003001000,69.30000305,82.09999847,99.00000000,111.00000000,119.40000153,128.30000305,133.69999695
54,15003001100,68.19999695,82.59999847,102.69999695,116.09999847,127.30000305,137.89999390,144.80000305
55,15003001201,73.69999695,87.19999695,104.09999847,116.50000000,125.09999847,133.69999695,138.89999390
56,15003001202,70.80000305,84.90000153,104.40000153,117.69999695,128.50000000,139.60000610,146.69999695
57,15003001300,76.90000153,91.19999695,108.30000305,120.69999695,129.39999390,138.10000610,143.69999695
58,15003001400,77.90000153,92.09999847,109.50000000,121.90000153,130.69999695,139.60000610,145.19999695
59,15003001500,75.69999695,89.40000153,106.90000153,119.50000000,128.69999695,137.89999390,144.00000000
60,15003001600,75.59999847,89.69999695,106.90000153,119.30000305,127.90000153,136.50000000,141.50000000
61,15003001700,76.69999695,90.69999695,108.19999695,121.00000000,129.89999390,138.60000610,144.60000610
62,15003001801,78.00000000,92.40000153,109.59999847,122.00000000,131.00000000,139.39999390,144.69999695
63,15003001803,77.09999847,91.19999695,108.19999695,120.09999847,129.10000610,137.19999695,142.19999695
64,15003001804,76.69999695,90.59999847,107.59999847,119.59999847,128.30000305,136.39999390,142.19999695
65,15003001901,77.59999847,91.80000305,108.50000000,120.59999847,129.30000305,137.60000610,142.80000305
66,15003001903,76.69999695,90.69999695,107.30000305,119.19999695,127.80000305,136.10000610,141.00000000
67,15003001904,78.00000000,92.19999695,109.09999847,121.19999695,129.89999390,138.19999695,143.10000610
68,15003002003,77.90000153,92.19999695,109.19999695,121.30000305,130.30000305,138.30000305,143.69999695
69,15003002004,76.69999695,90.69999695,107.50000000,119.50000000,128.30000305,136.10000610,141.19999695
70,15003002005,76.69999695,90.59999847,107.30000305,119.19999695,127.80000305,135.89999390,141.00000000
71,15003002006,76.90000153,90.90000153,107.59999847,119.59999847,128.30000305,136.30000305,141.39999390
72,15003002100,75.80000305,89.40000153,106.30000305,118.59999847,127.19999695,135.50000000,141.39999390
73,15003002201,76.69999695,90.50000000,107.30000305,119.40000153,128.30000305,136.30000305,141.69999695
74,15003002202,76.90000153,90.90000153,107.90000153,119.59999847,128.39999390,136.50000000,141.80000305
75,15003002300,77.00000000,91.00000000,107.80000305,120.00000000,128.89999390,137.00000000,142.39999390
